kanji,meaning,readings,compounds
腕,"arm, ability, talent",ワン; うで,"右腕 (うわん·1) = right arm; 手腕 (しゅわん·1,0) = ability; 敏腕 (びんわん·0) = ability; 片腕 (かたうで·0) = one arm, right-hand man; 両腕 (もろうで·0) = both arms"
湾,"gulf, bay, inlet",ワン; いりえ,"港湾 (こうわん·0) = harbours, harbors; 真珠湾 (しんじゅわん) = Pearl Harbor; 台湾 (たいわん·3) = Taiwan; 湾 (わん·1) = bay, gulf, inlet; 湾岸 (わんがん·0) = gulf (bay) coast"
和,"harmony, Japanese style, peace, soften, Japan","ワ, オ, カ; やわ.らぐ, やわ.らげる, なご.む, なご.やか","違和感 (いわかん·2) = malaise, physical unease, uncomfortable feeling, feeling out of place, sense of discomfort; 英和 (えいわ·0) = English-Japanese (eg dictionary); 緩和 (かんわ·0) = relief, mitigation; 共和制 (きょうわせい·0) = republicanism; 共和党 (きょうわとう·0) = Republican Party"
論,"argument, discourse",ロン,"異論 (いろん·0) = different opinion, objection; 概論 (がいろん·0) = intro, outline, general remarks; 議論 (ぎろん·1) = argument, discussion, dispute, controversy; 極論 (きょくろん·0) = extreme logic, extreme argument, unreserved argument; 空論 (くうろん·0) = abstract or impracticable theory"
録,record,ロク,"回顧録 (かいころく·3) = memoirs, reminiscences; 記録 (きろく·0) = record, minutes, document; 議事録 (ぎじろく·2) = record of proceedings, minutes; 語録 (ごろく·0,1) = analects, sayings; 再録 (さいろく·0) = re-recording"
老,"old man, old age, grow old","ロウ; お.いる, ふ.ける","家老 (かろう·0) = chief retainer, daimyo's minister; 敬老 (けいろう·0) = respect for the aged; 元老 (げんろう·0) = elder statesman, authority; 故老 (ころう·0) = old people, seniors, elders, old-timer; 初老 (しょろう·0) = middle-aged, aging, ageing, age 40"
労,"labor, thank for, reward for, toil, trouble","ロウ; ろう.する, いたわ.る, いた.ずき, ねぎら, つか.れる, ねぎら.う","ご苦労様 (ごくろうさま·2) = thank you very much for your.., I appreciate your efforts; 慰労 (いろう·0) = recognition of services; 過労 (かろう·0) = overwork, strain; 気苦労 (きぐろう·2) = worry, care, anxiety; 漁労 (ぎょろう·0) = fishing, fishery"
路,"path, route, road, distance","ロ, ル; -じ, みち","悪路 (あくろ·1) = bad road; 一路 (いちろ·2) = one road, one way, straight, earnestly; 往路 (おうろ·1) = outward journey; 家路 (いえじ·0) = the road home; 回路 (かいろ·1) = circuit (electric)"
連,"take along, lead, join, connect, party, gang, clique","レン; つら.なる, つら.ねる, つ.れる, -づ.れ","一連 (いちれん·0) = series, chain, sequence, ream (of paper); 引連れる (ひきつれる·4) = to take along with; 愚連隊 (ぐれんたい·0) = gang of young toughs; 訓連 (くんれん·1) = practice, practise, training; 経団連 (けいだんれん·3) = Federation of Economic Organizations"
練,"practice, gloss, train, drill, polish, refine","レン; ね.る, ね.り","手練手管 (てれんてくだ·4) = wiles, art of coaxing; 熟練 (じゅくれん·0) = skill, dexterity; 鍛練 (たんれん·1) = tempering, forging, hardening, disciplining, training; 未練 (みれん·1,0) = lingering affection, attachment, regret(s), reluctance"
