kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
丁,"street, ward, town, counter for guns, tools, even number, 4th calendar sign","チョウ, テイ, チン, トウ, チ; ひのと","丁目 (ちょうめ·3) = district of a town, city block (of irregular size); 庖丁 (ほうちょう·0) = kitchen knife, carving knife",彼はばか丁寧だ。,,彼(かれ) は 馬鹿 丁寧 だ,一 亅,"了,訂,灯"
両,"both, old Japanese coin, counter for carriages (eg, in a train), two","リョウ; てる, ふたつ","両者 (りょうしゃ·1) = pair, the two, both persons, both things; 両替 (りょうがえ·0) = change, money exchange; 両方 (りょうほう·3,0) = both sides, both parties; 両面 (りょうめん·0,3) = both sides, two sides; 両立 (りょうりつ·0) = compatibility, coexistence, standing together",両手をあげろ！,,両手 を 上げる,｜ 一 冂 山,"満,峰,峠"
丸,"round, full, month, perfection, -ship, pills, make round","ガン; まる, まる.める, まる.い","丸味 (まるみ·0) = roundness, rotundity; 丸める (まるめる·0) = to make round, to roll up, to curl up, to seduce, to explain away; 日の丸 (ひのまる·0) = outline of the sun (esp. represented as a red circle), the Japanese flag",地球は丸い。,,地球 は 丸い,九 丶,"熱,勢,熟"
予,"beforehand, previous, myself, I","ヨ, シャ; あらかじ.め","猶予 (ゆうよ·1) = postponement, deferment, extension (of time); 予感 (よかん·0) = presentiment, premonition; 予期 (よき·1) = expectation, assume will happen, forecast; 予告 (よこく·0) = advance notice, previous note, preliminary announcement; 予算 (よさん·0) = estimate, budget",予約してある。,,予約 為る(する),マ 一 亅,"了,丁,序"
争,"contend, dispute, argue","ソウ; あらそ.う, いか.でか","競争 (きょうそう·0) = competition, contest, to compete; 戦争 (せんそう·0) = war; 争い (あらそい·0,3) = dispute, strife, quarrel, dissension, conflict, rivalry, contest; 争う (あらそう·3) = to compete, to contest, to contend, to quarrel, to argue, to dispute, to be at variance, to oppose, (usu. in negative form) to deny (eg evidence); 争議 (そうぎ·1) = dispute, quarrel, strike",血は争えない。,,血 は 争えない,ヨ 一 亅 勹,"了,丁,浄"
交,"mingle, mixing, association, coming and going","コウ; まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも","外交 (がいこう·0) = diplomacy; 交わる (まじわる·3) = to cross, to intersect, to associate with, to mingle with, to interest, to join; 交換 (こうかん·0) = exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques); 交響曲 (こうきょうきょく·3) = symphony; 交互 (こうご·1) = mutual, reciprocal, alternate",彼らと交わるな。,,彼ら(かれら) と 交わる な,父 亠,"郊,較,校"
他,"other, another, the others",タ; ほか,"他 (ほか·0) = other (esp. places and things), the rest; 他殺 (たさつ·0) = a murder; 他方 (たほう·2) = another side, different direction, (on) the other hand; 他人 (あだびと·0) = another person, unrelated person, outsider, stranger",他にご用は？,,他(ほか) に ご用 は,化 也,"俳,信,価"
付,"adhere, attach, refer to, append","フ; つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき","近付く (ちかづく·3,0) = to approach, to get near, to get acquainted with, to get closer; 近付ける (ちかづける·4,0) = to bring near, to put close, to let come near, to associate with; 跡片付け (あとかたづけ·3,4) = tidying up, cleaning, clearing away, putting in order; 交付 (こうふ·1,0) = delivering, furnishing (with copies); 受付ける (うけつける·4,0) = to be accepted, to receive (an application)",気を付けてね。,,気を付けて ね(#2029080),化 寸,"附,府,侍"
令,"orders, ancient laws, command, decree",レイ,"法令 (ほうれい·0) = laws and ordinances, acts (of parliament, congress, etc.); 命令 (めいれい·0) = order, command, decree, directive, (software) instruction; 年令 (ねんれい·0) = age, years",それは外交辞令だ。,,其れ は 外交辞令 だ,个 卩 一,"零,鈴,玲"
仲,"go-between, relationship",チュウ; なか,"仲断 (ちゅうだん) = interruption, suspension, break; 仲 (なか·1) = relation, relationship; 仲介 (ちゅうかい·0) = agency, intermediation; 仲間 (なかま·3) = company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner; 仲裁 (ちゅうさい·0) = arbitration, intercession, mediation",彼女と仲がよい。,,彼女 と 仲が良い,｜ 化 口,"中,舌,石"
