kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
一,"one, one radical (no.1)","イチ, イツ; ひと-, ひと.つ","一つ (ひとつ·2) = one, for one thing, only, even; 一握り (ひとにぎり·2,3) = handful, small handful; 一員 (いちいん·0,2) = person, member; 一円 (いちえん·0,2) = whole district, one yen, throughout",もう一回。,,もう一回,,
七,seven,"シチ; なな, なな.つ, なの","七夕 (たなばた·0) = Tanabata, Star Festival (July 7th); 七月 (しちがつ·4) = July; 七五三 (しちごさん·0,3) = Shichi-Go-San (festival for children aged 3, 5, and 7); 七色 (なないろ·2) = seven colors, rainbow-colored;  perseverance",七つ？,,Seven?,乙 匕 ノ,"老,礼,化"
万,ten thousand,"マン, バン; よろず","万一 (まんいつ·1) = by some chance, by some possibility, 10,000 to 1 odds; 万引き (まんびき·0) = shoplifting, shoplifter; 万事 (ばんじ·1) = all, everything; 万年筆 (まんねんひつ·3) = fountain pen; 万人 (まんにん·0,1) = all people, everybody, ten thousand people",女王万歳。,,女王 万歳(ばんざい),｜ ノ 一,"垂,乃,丑"
三,three,"サン, ゾウ; み, み.つ, みっ.つ","再三 (さいさん·0) = again and again, repeatedly; 三角 (さんかく·1) = triangle, triangular; 三日月 (みかずき·0) = new moon, crescent moon; 三流 (さんりゅう·0) = 3rd rate; 三 (み·1) = three",三日前だ。,,That was three days ago.,一 二,"弐,天,亘"
上,"above, up","ジョウ, ショウ, シャン; うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, よ.す","已上 (いじょう·1) = not less than, ... and more, beyond; 屋上 (おくじょう·0) = rooftop; 海上 (かいじょう·0) = (by, at, on) sea, maritime, marine; 見上げる (みあげる·0,3) = to look up at, to raise one's eyes, to admire; 向上 (こうじょう·0) = elevation, rise, improvement, advancement, progress",以上。,,That's all.,一 卜,"与,下,峠"
下,"below, down, descend, give, low, inferior","カ, ゲ; した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","已下 (いげ·1) = not exceeding, and downward; 下る (さがる·2) = to hang down, to abate, to retire, to fall, to step back; 下げる (さげる·2) = to hang, to lower, to move back, to wear, to dismiss, to grant; 下さる (くださる·3) = to give, to confer; 下り (くだり·0) = down-train (going away from Tokyo)",下がって。,,Step back.,｜ 一 卜,"峠,世,上"
中,"in, inside, middle, mean, center","チュウ; なか, うち, あた.る","空中 (くうちゅう·0) = sky, air; 集中 (しゅうちゅう·0) = concentration, convergence, centralization, integration, gathering together; 心中 (しんじゅう·0) = double suicide, lovers suicide; 真最中 (まっさいちゅう·3) = midst, middle of, height of; 真夜中 (まよなか·2) = dead of night, midnight",中へ。,,Go inside.,｜ 口,"追,沖,忠"
九,nine,"キュウ, ク; ここの, ここの.つ",九日 (ここのか·4) = day nine,もう九時です。,,It's already nine o'clock.,,
二,"two, two radical","ニ, ジ; ふた, ふた.つ, ふたた.び","二男 (じなん·1) = second son; 二子 (ふたご·0) = twins, a twin; 二 (ふう·1) = two; 二階 (にかい·0) = second floor, upstairs; 二重 (ふたえ·2) = double, two-fold, two layers, duplex",一石二鳥,,I killed two birds with one stone.,,
五,five,"ゴ; いつ, いつ.つ","五 (い·1) = five; 五十音 (ごじゅうおん·2) = the Japanese syllabary; 五分 (ごぶ·1) = half, 50%, tie, evenness, 5 parts, 5%; 四捨五入 (ししゃごにゅう·1) = rounding up (esp. fractions)",五ドルある？,,Do you have five dollars?,,
人,person,"ジン, ニン; ひと, -り, -と","悪人 (あくにん·0) = bad man, villain; 偉人 (いじん·0) = great man; 一人前 (ひとりまえ·0) = adult, full manhood or womanhood, one helping, one portion; 恩人 (おんじん·0,3) = benefactor, patron; 外国人 (がいこくじん·4) = foreigner",一人だ。,,I'm alone.,,
今,now,"コン, キン; いま","今 (いま·1) = now, the present time, just now, soon, immediately, (one) more; 今に (いまに·1) = before long, even now; 今回 (こんかい·1) = now, this time, lately; 今月 (こんげつ·0) = this month; 今後 (こんご·0,1) = from now on, hereafter",今すぐ！,,Go!,个 一,"衿,琴,含"
休,"rest, day off, retire, sleep","キュウ; やす.む, やす.まる, やす.める","運休 (うんきゅう·0) = service suspended (eg trains); 夏休み (なつやすみ·3) = summer vacation, summer holiday; 休み (やすみ·3) = rest, vacation, holiday, absence; 休む (やすむ·2) = to be absent, to take a day off, to rest, to have a break; 休暇 (きゅうか·0) = holiday, day off, furlough",休め！,,Stand at ease!,化 木,"保,体,森"
